"","date","month","year","zoneid","tnc","subway","taxi","holidays","precip","median.age","median.earnings","scaled.population","scaled.employment","zone.name","borough"
"1","2015-01-11",1,2015,"ID33",0.2611,24.5874,1.0489,0,0.15,37.5166666666667,68656.1666666667,15.8715046604527,6.94207723035952,"Brooklyn Heights","Brooklyn"
"2","2015-01-18",1,2015,"ID33",0.2663,25.3242,1.0607,0,2.38,37.5166666666667,68656.1666666667,15.8715046604527,6.94207723035952,"Brooklyn Heights","Brooklyn"
"3","2015-01-25",1,2015,"ID33",0.2661,23.7426,0.9829,1,0.73,37.5166666666667,68656.1666666667,15.8715046604527,6.94207723035952,"Brooklyn Heights","Brooklyn"
"4","2015-02-01",2,2015,"ID33",0.2697,22.5609,0.9398,0,0.81,37.5166666666667,68656.1666666667,15.8715046604527,6.94207723035952,"Brooklyn Heights","Brooklyn"
"5","2015-02-08",2,2015,"ID33",0.2666,26.8802,1.0741,0,1.1,37.5166666666667,68656.1666666667,15.8715046604527,6.94207723035952,"Brooklyn Heights","Brooklyn"
"6","2015-02-15",2,2015,"ID33",0.2686,26.1415,1.1001,1,0.14,37.5166666666667,68656.1666666667,15.8715046604527,6.94207723035952,"Brooklyn Heights","Brooklyn"
"7","2015-02-22",2,2015,"ID33",0.2784,22.8242,1.0954,1,0.89,37.5166666666667,68656.1666666667,15.8715046604527,6.94207723035952,"Brooklyn Heights","Brooklyn"
"8","2015-03-01",3,2015,"ID33",0.2746,26.9753,1.1788,0,0.5,37.5166666666667,68656.1666666667,15.8715046604527,6.94207723035952,"Brooklyn Heights","Brooklyn"
"9","2015-03-08",3,2015,"ID33",0.2405,26.6627,1.0623,0,1.67,37.5166666666667,68656.1666666667,15.8715046604527,6.94207723035952,"Brooklyn Heights","Brooklyn"
"10","2015-03-15",3,2015,"ID33",0.2556,27.8664,1.0851,0,1.48,37.5166666666667,68656.1666666667,15.8715046604527,6.94207723035952,"Brooklyn Heights","Brooklyn"
"11","2015-03-22",3,2015,"ID33",0.2567,26.6485,1.0324,0,0.37,37.5166666666667,68656.1666666667,15.8715046604527,6.94207723035952,"Brooklyn Heights","Brooklyn"
"12","2015-03-29",3,2015,"ID33",0.2841,27.4833,1.0639,0,0.6,37.5166666666667,68656.1666666667,15.8715046604527,6.94207723035952,"Brooklyn Heights","Brooklyn"
"13","2015-04-05",4,2015,"ID33",0.2915,26.9064,1.0742,0,0.17,37.5166666666667,68656.1666666667,15.8715046604527,6.94207723035952,"Brooklyn Heights","Brooklyn"
"14","2015-04-12",4,2015,"ID33",0.2929,26.2,1.0863,0,0.32,37.5166666666667,68656.1666666667,15.8715046604527,6.94207723035952,"Brooklyn Heights","Brooklyn"
"15","2015-04-19",4,2015,"ID33",0.3152,28.9912,1.151,0,0.11,37.5166666666667,68656.1666666667,15.8715046604527,6.94207723035952,"Brooklyn Heights","Brooklyn"
"16","2015-04-26",4,2015,"ID33",0.329,28.7041,1.1618,0,1.33,37.5166666666667,68656.1666666667,15.8715046604527,6.94207723035952,"Brooklyn Heights","Brooklyn"
